"date","country","popData2019","cases","deaths","hosp","mcases","mdeaths","mhosp","under","cases_base","cases_inc","deaths_inc","hosp_inc"
2020-01-01,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-02,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-03,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-04,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-05,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-06,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-07,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-08,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-09,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-10,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-11,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-12,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-13,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-14,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-15,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-16,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-17,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-18,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-19,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-20,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-21,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-22,"France",67012883,0,0,0,0,0,0,0.033941919,0,0,0,0
2020-01-23,"France",67012883,0,0,0,17.67725612,0,0,0.033941919,0,0.270705632,0,0
2020-01-24,"France",67012883,0,0,0,17.67725612,0,0,0.033941919,0,0.270705632,0,0
2020-01-25,"France",67012883,3,0,0,17.67725612,0,0,0.033941919,88.38628062,0.270705632,0,0
2020-01-26,"France",67012883,0,0,0,17.67725612,0,0,0.033941919,0,0.270705632,0,0
2020-01-27,"France",67012883,0,0,0,23.56967483,0,0,0.033941919,0,0.360940842,0,0
2020-01-28,"France",67012883,0,0,0,11.78483742,0,0,0.033941919,0,0.180470421,0,0
