period,value,param,param_value
1,0.149291225901805,ctryN,France
15,1.5114953957918E-08,cCFRBaseline,0.65
16,0.732429076744678,per_ini,90
17,0.530875570521109,per_window,60
18,0.526722836175653,scale_trans,0.95
19,0.426889751683433,scale_imp ,2.21062597776213E-08
24,0.204964310905758,calib_first,0.5
27,0.269955869970997,calib_min,0.5
30,0.298600723662117,lag_death,7
35,0.31353548418113,lag_hosp,0
40,0.179653533136437,group_ini,19
48,0.481671849420013,0,0
51,0.487388541019145,0,0
54,0.435667285266979,0,0
57,0.41937101640263,0,0
62,0.508604643248686,0,0
65,0.295908094844225,0,0
