"month","day1-5","day6-10","day11-15","day16-20","day21-25","day26-30"
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,0.572516389791159,0.572516389791159,0.489999576326104,0.246855124060651
4,0.287554759888371,0.287554759888371,0.287554759888371,0.287554759888371,0.287554759888371,0.287554759888371
5,0.287554759888371,0.287554759888371,0.287554759888371,0.287554759888371,0.287554759888371,0.287554759888371
6,0.287554759888371,0.287554759888371,0.287554759888371,0.287554759888371,0.287554759888371,0.287554759888371
7,0.300334971438965,0.31311518298956,0.325895394540154,0.338675606090748,0.351455817641342,0.364236029191937
8,0.377016240742531,0.389796452293125,0.40257666384372,0.415356875394314,0.428137086944908,0.440917298495502
9,0.453697510046097,0.466477721596691,0.479257933147285,0.49203814469788,0.504818356248474,0.517598567799068
10,0.530378779349662,0.543158990900257,0.555939202450851,0.568719414001445,0.581499625552039,0.594279837102634
11,0.607060048653228,0.619840260203822,0.632620471754416,0.645400683305011,0.658180894855605,0.670961106406199
12,0.683741317956793,0.696521529507387,0.709301741057982,0.722081952608576,0.73486216415917,0.747642375709764
13,0.75,0.75,0.75,0.75,0.75,0.75
14,0.75,0.75,0.75,0.75,0.75,0.75
15,0.75,0.75,0.75,0.75,0.75,0.75
16,0.75,0.75,0.75,0.75,0.75,0.75
17,0.75,0.75,0.75,0.75,0.75,0.75
18,0.75,0.75,0.75,0.75,0.75,0.75
19,0.75,0.75,0.75,0.75,0.75,0.75
20,0.75,0.75,0.75,0.75,0.75,0.75
21,0.75,0.75,0.75,0.75,0.75,0.75
22,0.75,0.75,0.75,0.75,0.75,0.75
23,0.75,0.75,0.75,0.75,0.75,0.75
24,0.75,0.75,0.75,0.75,0.75,0.75
25,0.75,0.75,0.75,0.75,0.75,0.75
26,0.75,0.75,0.75,0.75,0.75,0.75
27,0.75,0.75,0.75,0.75,0.75,0.75
28,0.75,0.75,0.75,0.75,0.75,0.75
29,0.75,0.75,0.75,0.75,0.75,0.75
30,0.75,0.75,0.75,0.75,0.75,0.75
31,0.75,0.75,0.75,0.75,0.75,0.75
32,0.75,0.75,0.75,0.75,0.75,0.75
33,0.75,0.75,0.75,0.75,0.75,0.75
34,0.75,0.75,0.75,0.75,0.75,0.75
35,0.75,0.75,0.75,0.75,0.75,0.75
36,0.75,0.75,0.75,0.75,0.75,0.75
37,0.75,0.75,0.75,0.75,0.75,0.75
38,0.75,0.75,0.75,0.75,0.75,0.75
39,0.75,0.75,0.75,0.75,0.75,0.75
40,0.75,0.75,0.75,0.75,0.75,0.75
41,0.75,0.75,0.75,0.75,0.75,0.75
42,0.75,0.75,0.75,0.75,0.75,0.75
43,0.75,0.75,0.75,0.75,0.75,0.75
44,0.75,0.75,0.75,0.75,0.75,0.75
45,0.75,0.75,0.75,0.75,0.75,0.75
46,0.75,0.75,0.75,0.75,0.75,0.75
47,0.75,0.75,0.75,0.75,0.75,0.75
48,0.75,0.75,0.75,0.75,0.75,0.75
49,0.75,0.75,0.75,0.75,0.75,0.75
50,0.75,0.75,0.75,0.75,0.75,0.75
51,0.75,0.75,0.75,0.75,0.75,0.75
52,0.75,0.75,0.75,0.75,0.75,0.75
53,0.75,0.75,0.75,0.75,0.75,0.75
54,0.75,0.75,0.75,0.75,0.75,0.75
55,0.75,0.75,0.75,0.75,0.75,0.75
56,0.75,0.75,0.75,0.75,0.75,0.75
57,0.75,0.75,0.75,0.75,0.75,0.75
58,0.75,0.75,0.75,0.75,0.75,0.75
59,0.75,0.75,0.75,0.75,0.75,0.75
60,0.75,0.75,0.75,0.75,0.75,0.75
