"month","day1-5","day6-10","day11-15","day16-20","day21-25","day26-30"
1,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07
2,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07
3,1.10304978197591e-07,1.10304978197591e-07,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,3.06402717215531e-09,6.12805434431061e-09,9.19208151646592e-09,1.22561086886212e-08,1.53201358607765e-08,1.83841630329318e-08
8,2.14481902050871e-08,2.45122173772424e-08,2.75762445493978e-08,3.06402717215531e-08,3.37042988937084e-08,3.67683260658637e-08
9,3.9832353238019e-08,4.28963804101743e-08,4.59604075823296e-08,4.90244347544849e-08,5.20884619266402e-08,5.51524890987955e-08
10,5.82165162709508e-08,6.12805434431061e-08,6.43445706152614e-08,6.74085977874167e-08,7.0472624959572e-08,7.35366521317273e-08
11,7.66006793038827e-08,7.9664706476038e-08,8.27287336481933e-08,8.57927608203486e-08,8.88567879925039e-08,9.19208151646592e-08
12,9.49848423368145e-08,9.80488695089698e-08,1.01112896681125e-07,1.0417692385328e-07,1.07240951025436e-07,1.10304978197591e-07
13,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07
14,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07
15,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07
16,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07
17,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07
18,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07
19,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07
20,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07
21,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07
22,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07,1.10304978197591e-07
