"month","day1-5","day6-10","day11-15","day16-20","day21-25","day26-30"
1,1,1,1,1,1,1
2,1,1,1,1,1,0.788905493645171
3,0.26778751539328,0.0617146134755057,0.0617146134755057,0.205685030553161,0.205685030553161,0.205685030553161
4,0.205685030553161,0.205685030553161,0.205685030553161,0.205685030553161,0.205685030553161,0.205685030553161
5,0.205685030553161,0.205685030553161,0.205685030553161,0.205685030553161,0.205685030553161,0.205685030553161
6,0.205685030553161,0.205685030553161,0.205685030553161,0.205685030553161,0.205685030553161,0.205685030553161
7,0.222139832997414,0.238594635441667,0.25504943788592,0.271504240330173,0.287959042774425,0.304413845218678
8,0.320868647662931,0.337323450107184,0.353778252551437,0.37023305499569,0.386687857439943,0.403142659884196
9,0.419597462328449,0.436052264772702,0.452507067216954,0.468961869661207,0.48541667210546,0.501871474549713
10,0.518326276993966,0.534781079438219,0.551235881882472,0.567690684326725,0.584145486770978,0.60060028921523
11,0.617055091659483,0.633509894103736,0.649964696547989,0.666419498992242,0.682874301436495,0.699329103880748
12,0.715783906325001,0.732238708769254,0.748693511213507,0.75,0.75,0.75
13,0.75,0.75,0.75,0.75,0.75,0.75
14,0.75,0.75,0.75,0.75,0.75,0.75
15,0.75,0.75,0.75,0.75,0.75,0.75
16,0.75,0.75,0.75,0.75,0.75,0.75
17,0.75,0.75,0.75,0.75,0.75,0.75
18,0.75,0.75,0.75,0.75,0.75,0.75
19,0.75,0.75,0.75,0.75,0.75,0.75
20,0.75,0.75,0.75,0.75,0.75,0.75
21,0.75,0.75,0.75,0.75,0.75,0.75
22,0.75,0.75,0.75,0.75,0.75,0.75
23,0.75,0.75,0.75,0.75,0.75,0.75
24,0.75,0.75,0.75,0.75,0.75,0.75
25,0.75,0.75,0.75,0.75,0.75,0.75
26,0.75,0.75,0.75,0.75,0.75,0.75
27,0.75,0.75,0.75,0.75,0.75,0.75
28,0.75,0.75,0.75,0.75,0.75,0.75
29,0.75,0.75,0.75,0.75,0.75,0.75
30,0.75,0.75,0.75,0.75,0.75,0.75
31,0.75,0.75,0.75,0.75,0.75,0.75
32,0.75,0.75,0.75,0.75,0.75,0.75
33,0.75,0.75,0.75,0.75,0.75,0.75
34,0.75,0.75,0.75,0.75,0.75,0.75
35,0.75,0.75,0.75,0.75,0.75,0.75
36,0.75,0.75,0.75,0.75,0.75,0.75
37,0.75,0.75,0.75,0.75,0.75,0.75
38,0.75,0.75,0.75,0.75,0.75,0.75
39,0.75,0.75,0.75,0.75,0.75,0.75
40,0.75,0.75,0.75,0.75,0.75,0.75
41,0.75,0.75,0.75,0.75,0.75,0.75
42,0.75,0.75,0.75,0.75,0.75,0.75
43,0.75,0.75,0.75,0.75,0.75,0.75
44,0.75,0.75,0.75,0.75,0.75,0.75
45,0.75,0.75,0.75,0.75,0.75,0.75
46,0.75,0.75,0.75,0.75,0.75,0.75
47,0.75,0.75,0.75,0.75,0.75,0.75
48,0.75,0.75,0.75,0.75,0.75,0.75
49,0.75,0.75,0.75,0.75,0.75,0.75
50,0.75,0.75,0.75,0.75,0.75,0.75
51,0.75,0.75,0.75,0.75,0.75,0.75
52,0.75,0.75,0.75,0.75,0.75,0.75
53,0.75,0.75,0.75,0.75,0.75,0.75
54,0.75,0.75,0.75,0.75,0.75,0.75
55,0.75,0.75,0.75,0.75,0.75,0.75
56,0.75,0.75,0.75,0.75,0.75,0.75
57,0.75,0.75,0.75,0.75,0.75,0.75
58,0.75,0.75,0.75,0.75,0.75,0.75
59,0.75,0.75,0.75,0.75,0.75,0.75
60,0.75,0.75,0.75,0.75,0.75,0.75
