"month","day1-5","day6-10","day11-15","day16-20","day21-25","day26-30"
1,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
2,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,1.06292708297281e-10,2.12585416594562e-10,3.18878124891843e-10,4.25170833189124e-10,5.31463541486406e-10,6.37756249783687e-10
8,7.44048958080968e-10,8.50341666378249e-10,9.5663437467553e-10,1.06292708297281e-09,1.16921979127009e-09,1.27551249956737e-09
9,1.38180520786465e-09,1.48809791616194e-09,1.59439062445922e-09,1.7006833327565e-09,1.80697604105378e-09,1.91326874935106e-09
10,2.01956145764834e-09,2.12585416594562e-09,2.2321468742429e-09,2.33843958254018e-09,2.44473229083747e-09,2.55102499913475e-09
11,2.65731770743203e-09,2.76361041572931e-09,2.86990312402659e-09,2.97619583232387e-09,3.08248854062115e-09,3.18878124891843e-09
12,3.29507395721572e-09,3.401366665513e-09,3.50765937381028e-09,3.61395208210756e-09,3.72024479040484e-09,3.82653749870212e-09
13,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
14,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
15,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
16,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
17,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
18,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
19,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
20,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
21,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
22,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
23,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
24,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
25,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
26,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
27,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
28,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
29,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
30,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
31,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
32,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
33,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
34,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
35,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
36,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
37,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
38,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
39,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
40,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
41,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
42,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
43,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
44,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
45,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
46,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
47,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
48,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
49,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
50,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
51,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
52,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
53,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
54,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
55,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
56,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
57,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
58,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
59,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
60,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09,3.82653749870212e-09
