"month","day1-5","day6-10","day11-15","day16-20","day21-25","day26-30"
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,1,1,0.704133203965103
4,0.48581249255104,0.347335175311449,0.299434081645558,0.299434081645558,0.299434081645558,0.299434081645558
5,0.299434081645558,0.299434081645558,0.299434081645558,0.299434081645558,0.299434081645558,0.299434081645558
6,0.299434081645558,0.299434081645558,0.299434081645558,0.299434081645558,0.299434081645558,0.299434081645558
7,0.311910501714123,0.324386921782688,0.336863341851253,0.349339761919818,0.361816181988383,0.374292602056948
8,0.386769022125513,0.399245442194078,0.411721862262642,0.424198282331207,0.436674702399772,0.449151122468337
9,0.461627542536902,0.474103962605467,0.486580382674032,0.499056802742597,0.511533222811162,0.524009642879727
10,0.536486062948292,0.548962483016857,0.561438903085422,0.573915323153987,0.586391743222552,0.598868163291117
11,0.611344583359681,0.623821003428246,0.636297423496811,0.648773843565376,0.661250263633941,0.673726683702506
12,0.686203103771071,0.698679523839635,0.7111559439082,0.723632363976765,0.73610878404533,0.748585204113895
13,0.75,0.75,0.75,0.75,0.75,0.75
14,0.75,0.75,0.75,0.75,0.75,0.75
15,0.75,0.75,0.75,0.75,0.75,0.75
16,0.75,0.75,0.75,0.75,0.75,0.75
17,0.75,0.75,0.75,0.75,0.75,0.75
18,0.75,0.75,0.75,0.75,0.75,0.75
19,0.75,0.75,0.75,0.75,0.75,0.75
20,0.75,0.75,0.75,0.75,0.75,0.75
21,0.75,0.75,0.75,0.75,0.75,0.75
22,0.75,0.75,0.75,0.75,0.75,0.75
23,0.75,0.75,0.75,0.75,0.75,0.75
24,0.75,0.75,0.75,0.75,0.75,0.75
25,0.75,0.75,0.75,0.75,0.75,0.75
26,0.75,0.75,0.75,0.75,0.75,0.75
27,0.75,0.75,0.75,0.75,0.75,0.75
28,0.75,0.75,0.75,0.75,0.75,0.75
29,0.75,0.75,0.75,0.75,0.75,0.75
30,0.75,0.75,0.75,0.75,0.75,0.75
31,0.75,0.75,0.75,0.75,0.75,0.75
32,0.75,0.75,0.75,0.75,0.75,0.75
33,0.75,0.75,0.75,0.75,0.75,0.75
34,0.75,0.75,0.75,0.75,0.75,0.75
35,0.75,0.75,0.75,0.75,0.75,0.75
36,0.75,0.75,0.75,0.75,0.75,0.75
37,0.75,0.75,0.75,0.75,0.75,0.75
38,0.75,0.75,0.75,0.75,0.75,0.75
39,0.75,0.75,0.75,0.75,0.75,0.75
40,0.75,0.75,0.75,0.75,0.75,0.75
41,0.75,0.75,0.75,0.75,0.75,0.75
42,0.75,0.75,0.75,0.75,0.75,0.75
43,0.75,0.75,0.75,0.75,0.75,0.75
44,0.75,0.75,0.75,0.75,0.75,0.75
45,0.75,0.75,0.75,0.75,0.75,0.75
46,0.75,0.75,0.75,0.75,0.75,0.75
47,0.75,0.75,0.75,0.75,0.75,0.75
48,0.75,0.75,0.75,0.75,0.75,0.75
49,0.75,0.75,0.75,0.75,0.75,0.75
50,0.75,0.75,0.75,0.75,0.75,0.75
51,0.75,0.75,0.75,0.75,0.75,0.75
52,0.75,0.75,0.75,0.75,0.75,0.75
53,0.75,0.75,0.75,0.75,0.75,0.75
54,0.75,0.75,0.75,0.75,0.75,0.75
55,0.75,0.75,0.75,0.75,0.75,0.75
56,0.75,0.75,0.75,0.75,0.75,0.75
57,0.75,0.75,0.75,0.75,0.75,0.75
58,0.75,0.75,0.75,0.75,0.75,0.75
59,0.75,0.75,0.75,0.75,0.75,0.75
60,0.75,0.75,0.75,0.75,0.75,0.75
