"month","day1-5","day6-10","day11-15","day16-20","day21-25","day26-30"
1,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
2,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
3,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,5.89073182908742e-11,1.17814636581748e-10,1.76721954872622e-10,2.35629273163497e-10,2.94536591454371e-10,3.53443909745245e-10
8,4.12351228036119e-10,4.71258546326993e-10,5.30165864617868e-10,5.89073182908742e-10,6.47980501199616e-10,7.0688781949049e-10
9,7.65795137781364e-10,8.24702456072239e-10,8.83609774363113e-10,9.42517092653987e-10,1.00142441094486e-09,1.06033172923574e-09
10,1.11923904752661e-09,1.17814636581748e-09,1.23705368410836e-09,1.29596100239923e-09,1.35486832069011e-09,1.41377563898098e-09
11,1.47268295727185e-09,1.53159027556273e-09,1.5904975938536e-09,1.64940491214448e-09,1.70831223043535e-09,1.76721954872623e-09
12,1.8261268670171e-09,1.88503418530797e-09,1.94394150359885e-09,2.00284882188972e-09,2.0617561401806e-09,2.12066345847147e-09
13,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
14,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
15,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
16,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
17,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
18,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
19,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
20,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
21,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
22,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
23,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
24,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
25,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
26,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
