year,month,0-9y,10-19y,20-29y,30-39y,40-49y,50-59y,60-69y,70-79y,80yr+,Vaccine,cov1,0,,,,0-9y,10-19y,20-29y,30-39y,40-49y,50-59y,60-69y,70-79y,80yr+,
2020,1,0,0,0,0,0,0,0,0,0,1,cov 2,0,,,high priority,0,0,0.210246421173051,0.210246421173051,0.210246421173051,0.210246421173051,0,0,0,
2020,2,0,0,0,0,0,0,0,0,0,1,,,,,Vulnerable (%),0,0,6.70598109587439E-02,0.109899483398544,0.169049519090013,0.263685365695802,0.730552495632473,1,1,
2020,3,0,0,0,0,0,0,0,0,0,1,,0,0,0,others,0,0,0.722693767868205,0.679854095428405,0.620704059736935,0.526068213131146,0.269447504367527,0,0,
2020,4,0,0,0,0,0,0,0,0,0,1,Jan-June,high priority,Vulnerable (%),others,Month,,,,,,,,,,
2020,5,0,0,0,0,0,0,0,0,0,1,,0.5,0,0,1,0,0,0,0,0,0,0,0,0,
2020,6,0,0,0,0,0,0,0,0,0,1,,0.5,0,0,2,0,0,0,0,0,0,0,0,0,
2020,7,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,3,0,0,0,0,0,0,0,0,0,
2020,8,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,4,0,0,0,0,0,0,0,0,0,
2020,9,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,5,0,0,0,0,0,0,0,0,0,
2020,10,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,6,0,0,0,0,0,0,0,0,0,
2020,11,0,0,0,0,0,0,0,0,0,1,,0,0,0,7,0,0,0,0,0,0,0,0,0,
2020,12,0,0,0,0,0,0,0,0,0,1,,0,0,0,8,0,0,0,0,0,0,0,0,0,
2021,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,9,0,0,0,0,0,0,0,0,0,
2021,2,0,0,0,0,0,0,0,0,0,1,,0,0,0,10,0,0,0,0,0,0,0,0,0,
2021,3,0,0,0,0,0,0,0,0,0,1,,0,0,0,11,0,0,0,0,0,0,0,0,0,
2021,4,0,0,0,0,0,0,0,0,0,1,,0,0,0,12,0,0,0,0,0,0,0,0,0,
2021,5,0,0,0,0,0,0,0,0,0,1,,0,0,0,,,,,,,,,,,
2021,6,0,0,0,0,0,0,0,0,0,1,vaccine2,high priority,Vulnerable (%),others,Month,,,,,,,,,,
2021,7,0,0,0,0,0,0,0,0,0,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,
2021,8,0,0,0,0,0,0,0,0,0,2,,0,0,0,2,0,0,0,0,0,0,0,0,0,
2021,9,0,0,0,0,0,0,0,0,0,2,,0,0,0,3,0,0,0,0,0,0,0,0,0,
2021,10,0,0,0,0,0,0,0,0,0,2,,0,0,0,4,0,0,0,0,0,0,0,0,0,
2021,11,0,0,0,0,0,0,0,0,0,2,,0,0,0,5,0,0,0,0,0,0,0,0,0,
2021,12,0,0,0,0,0,0,0,0,0,2,,0,0,0,6,0,0,0,0,0,0,0,0,0,
2022,1,0,0,0,0,0,0,0,0,0,2,,0.166666666666667,0.166666666666667,0.166666666666667,7,0,0,0,0,0,0,0,0,0,
2022,2,0,0,0,0,0,0,0,0,0,2,,0.166666666666667,0.166666666666667,0.166666666666667,8,0,0,0,0,0,0,0,0,0,
2022,3,0,0,0,0,0,0,0,0,0,2,,0.166666666666667,0.166666666666667,0.166666666666667,9,0,0,0,0,0,0,0,0,0,
2022,4,0,0,0,0,0,0,0,0,0,2,,0.166666666666667,0.166666666666667,0.166666666666667,10,0,0,0,0,0,0,0,0,0,
2022,5,0,0,0,0,0,0,0,0,0,2,,0.166666666666667,0.166666666666667,0.166666666666667,11,0,0,0,0,0,0,0,0,0,
2022,6,0,0,0,0,0,0,0,0,0,2,,0.166666666666667,0.166666666666667,0.166666666666667,12,0,0,0,0,0,0,0,0,0,
2022,7,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2022,8,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2022,9,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2022,10,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2022,11,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2022,12,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023,2,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023,3,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023,4,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023,5,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023,6,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023,7,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023,8,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023,9,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023,10,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023,11,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023,12,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2024,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2024,2,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2024,3,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2024,4,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2024,5,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2024,6,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2024,7,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2024,8,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2024,9,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2024,10,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2024,11,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2024,12,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
