year,month,0-9y,10-19y,20-29y,30-39y,40-49y,50-59y,60-69y,70-79y,80yr+,Vaccine,,cov1,0.6,,,0-9y,10-19y,20-29y,30-39y,40-49y,50-59y,60-69y,70-79y,80yr+,
2020,1,0,0,0,0,0,0,0,0,0,1,,cov 2,0.6,,high priority,0,0,0.210246421173051,0.210246421173051,0.210246421173051,0.210246421173051,0,0,0,
2020,2,0,0,0,0,0,0,0,0,0,1,,,,,Vulnerable (%),0,0,6.70598109587439E-02,0.109899483398544,0.169049519090013,0.263685365695802,0.730552495632473,1,1,
2020,3,0,0,0,0,0,0,0,0,0,1,,0.6,0.6,0,others,0,0,0.722693767868205,0.679854095428405,0.620704059736935,0.526068213131146,0.269447504367527,0,0,
2020,4,0,0,0,0,0,0,0,0,0,1,Jan-June,high priority,Vulnerable (%),others,Month,,,,,,,,,,
2020,5,0,0,0,0,0,0,0,0,0,1,,0.5,0,0,1,0,0,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,0,0,0,
2020,6,0,0,0,0,0,0,0,0,0,1,,0.5,0,0,2,0,0,0.126147852703831,0.126147852703831,0.126147852703831,0.126147852703831,0,0,0,
2020,7,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,3,0,0,0.136206824347642,0.142632775213612,0.151505280567333,0.165700657558201,0.109582874344871,0.15,0.15,
2020,8,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,4,0,0,0.146265795991454,0.159117697723394,0.176862708430835,0.205253462412572,0.219165748689742,0.3,0.3,
2020,9,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,5,0,0,0.156324767635266,0.175602620233176,0.202220136294337,0.244806267266942,0.328748623034613,0.45,0.45,
2020,10,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,6,0,0,0.166383739279077,0.192087542742957,0.227577564157839,0.284359072121312,0.438331497379484,0.6,0.6,
2020,11,0,0,0,0,0,0,0,0,0,1,,0,0,0,7,0,0,0.166383739279077,0.192087542742957,0.227577564157839,0.284359072121312,0.438331497379484,0.6,0.6,
2020,12,0,0,0,0,0,0,0,0,0,1,,0,0,0,8,0,0,0.166383739279077,0.192087542742957,0.227577564157839,0.284359072121312,0.438331497379484,0.6,0.6,
2021,1,0,0,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,0,0,0,1,,0,0,0,9,0,0,0.166383739279077,0.192087542742957,0.227577564157839,0.284359072121312,0.438331497379484,0.6,0.6,
2021,2,0,0,0.126147852703831,0.126147852703831,0.126147852703831,0.126147852703831,0,0,0,1,,0,0,0,10,0,0,0.166383739279077,0.192087542742957,0.227577564157839,0.284359072121312,0.438331497379484,0.6,0.6,
2021,3,0,0,0.136206824347642,0.142632775213612,0.151505280567333,0.165700657558201,0.109582874344871,0.15,0.15,1,,0,0,0,11,0,0,0.166383739279077,0.192087542742957,0.227577564157839,0.284359072121312,0.438331497379484,0.6,0.6,
2021,4,0,0,0.146265795991454,0.159117697723394,0.176862708430835,0.205253462412572,0.219165748689742,0.3,0.3,1,,0,0,0,12,0,0,0.166383739279077,0.192087542742957,0.227577564157839,0.284359072121312,0.438331497379484,0.6,0.6,
2021,5,0,0,0.156324767635266,0.175602620233176,0.202220136294337,0.244806267266942,0.328748623034613,0.45,0.45,1,,0,0,0.6,,,,,,,,,,,
2021,6,0,0,0.166383739279077,0.192087542742957,0.227577564157839,0.284359072121312,0.438331497379484,0.6,0.6,1,vaccine2,high priority,Vulnerable (%),others,Month,,,,,,,,,,
2021,7,0,0,0.238653116065898,0.260072952285798,0.289647970131532,0.336965893434427,0.465276247816236,0.6,0.6,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,
2021,8,0,0,0.310922492852718,0.328058361828638,0.351718376105226,0.389572714747541,0.492220998252989,0.6,0.6,2,,0,0,0,2,0,0,0,0,0,0,0,0,0,
2021,9,0,0,0.383191869639539,0.396043771371479,0.413788782078919,0.442179536060656,0.519165748689742,0.6,0.6,2,,0,0,0,3,0,0,0,0,0,0,0,0,0,
2021,10,0,0,0.455461246426359,0.464029180914319,0.475859188052613,0.494786357373771,0.546110499126495,0.6,0.6,2,,0,0,0,4,0,0,0,0,0,0,0,0,0,
2021,11,0,0,0.527730623213179,0.53201459045716,0.537929594026306,0.547393178686885,0.573055249563247,0.6,0.6,2,,0,0,0,5,0,0,0,0,0,0,0,0,0,
2021,12,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,2,,0,0,0,6,0,0,0,0,0,0,0,0,0,
2022,1,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,2,,0.166666666666667,0.166666666666667,0.166666666666667,7,0,0,7.22693767868205E-02,6.79854095428405E-02,6.20704059736935E-02,5.26068213131146E-02,2.69447504367527E-02,0,0,
