"date","country","popData2018","new_cases","new_deaths","cases_base","cases_low","cases_up"
2019-12-31,"Italy",60431283,0,0,0,0,0
2020-01-01,"Italy",60431283,0,0,0,0,0
2020-01-02,"Italy",60431283,0,0,0,0,0
2020-01-03,"Italy",60431283,0,0,0,0,0
2020-01-04,"Italy",60431283,0,0,0,0,0
2020-01-05,"Italy",60431283,0,0,0,0,0
2020-01-06,"Italy",60431283,0,0,0,0,0
2020-01-07,"Italy",60431283,0,0,0,0,0
2020-01-08,"Italy",60431283,0,0,0,0,0
2020-01-09,"Italy",60431283,0,0,0,0,0
2020-01-10,"Italy",60431283,0,0,0,0,0
2020-01-11,"Italy",60431283,0,0,0,0,0
2020-01-12,"Italy",60431283,0,0,0,0,0
2020-01-13,"Italy",60431283,0,0,0,0,0
2020-01-14,"Italy",60431283,0,0,0,0,0
2020-01-15,"Italy",60431283,0,0,0,0,0
2020-01-16,"Italy",60431283,0,0,0,0,0
2020-01-17,"Italy",60431283,0,0,0,0,0
2020-01-18,"Italy",60431283,0,0,0,0,0
2020-01-19,"Italy",60431283,0,0,0,0,0
2020-01-20,"Italy",60431283,0,0,0,0,0
2020-01-21,"Italy",60431283,0,0,0,0,0
2020-01-22,"Italy",60431283,0,0,0,0,0
2020-01-23,"Italy",60431283,0,0,0,0,0
2020-01-24,"Italy",60431283,0,0,0,0,0
2020-01-25,"Italy",60431283,0,0,0,0,0
2020-01-26,"Italy",60431283,0,0,0,0,0
2020-01-27,"Italy",60431283,0,0,0,0,0
2020-01-28,"Italy",60431283,0,0,0,0,0
2020-01-29,"Italy",60431283,0,0,0,0,0
2020-01-30,"Italy",60431283,0,0,0,0,0
2020-01-31,"Italy",60431283,3,0,41.0815780777469,36.597381922606,46.6632051436184
2020-02-01,"Italy",60431283,0,0,0,0,0
2020-02-02,"Italy",60431283,0,0,0,0,0
2020-02-03,"Italy",60431283,0,0,0,0,0
2020-02-04,"Italy",60431283,0,0,0,0,0
2020-02-05,"Italy",60431283,0,0,0,0,0
2020-02-06,"Italy",60431283,0,0,0,0,0
2020-02-07,"Italy",60431283,0,0,0,0,0
2020-02-08,"Italy",60431283,0,0,0,0,0
2020-02-09,"Italy",60431283,0,0,0,0,0
2020-02-10,"Italy",60431283,0,0,0,0,0
2020-02-11,"Italy",60431283,0,0,0,0,0
2020-02-12,"Italy",60431283,0,0,0,0,0
2020-02-13,"Italy",60431283,0,0,0,0,0
2020-02-14,"Italy",60431283,0,0,0,0,0
2020-02-15,"Italy",60431283,0,0,0,0,0
2020-02-16,"Italy",60431283,0,0,0,0,0
2020-02-17,"Italy",60431283,0,0,0,0,0
2020-02-18,"Italy",60431283,0,0,0,0,0
2020-02-19,"Italy",60431283,0,0,0,0,0
2020-02-20,"Italy",60431283,0,0,0,0,0
2020-02-21,"Italy",60431283,0,0,0,0,0
2020-02-22,"Italy",60431283,14,0,191.714031029486,170.787782305495,217.761624003553
2020-02-23,"Italy",60431283,62,2,849.019280273436,756.345893067191,964.372906301447
2020-02-24,"Italy",60431283,53,0,725.774546040196,646.553747299373,824.383290870592
2020-02-25,"Italy",60431283,97,4,1328.30435784715,1183.31534883093,1508.77696631033
2020-02-26,"Italy",60431283,93,5,1273.52892041015,1134.51883960079,1446.55935945217
2020-02-27,"Italy",60431283,78,1,1068.12103002142,951.531929987756,1213.24333373408
2020-02-28,"Italy",60431283,250,5,3423.46483981224,3049.78182688383,3888.60042863487
2020-02-29,"Italy",60431283,238,4,3259.13852750126,2903.39229919341,3701.94760806039
2020-03-01,"Italy",60431283,240,8,3286.52624621975,2927.79055380848,3733.05641148947
2020-03-02,"Italy",60431283,561,6,7682.25510053867,6843.71041952732,8726.01936185664
2020-03-03,"Italy",60431283,347,17,4751.76919765939,4233.09717571476,5397.3773949452
2020-03-04,"Italy",60431283,466,28,6381.33846141002,5684.79332531147,7248.35119897539
2020-03-05,"Italy",60431283,587,27,8038.29544387915,7160.88772952324,9130.43380643467
2020-03-06,"Italy",60431283,769,41,10530.5778472625,9381.12889949467,11961.3349184809
2020-03-07,"Italy",60431283,778,49,10653.8225814957,9490.92104526249,12101.3245339117
2020-03-08,"Italy",60431283,1247,36,17076.2426209835,15212.3117524966,19396.3389380307
2020-03-09,"Italy",60431283,1492,133,20431.2381639995,18201.0979428427,23207.1673580929
2020-03-10,"Italy",60431283,1797,98,24607.8652685704,21921.831771641,27951.2598810274
2020-03-11,"Italy",60431283,977,167,13378.9005939862,11918.547379462,15196.6504751051
2020-03-12,"Italy",60431283,2313,196,31673.8966979429,28216.5814623292,35977.3311657298
2020-03-13,"Italy",60431283,2651,189,36302.421161369,32339.8864922762,41234.7189452441
2020-03-14,"Italy",60431283,2547,252,34878.2597880071,31071.1772522925,39617.061166932
2020-03-15,"Italy",60431283,3497,173,47887.4261792937,42660.3481944511,54393.7427957445
2020-03-16,"Italy",60431283,2823,370,38657.7649711598,34438.1363891723,43910.0760401449
2020-03-17,"Italy",60431283,4000,347,54775.4374369959,48796.5092301413,62217.6068581579
2020-03-18,"Italy",60431283,3526,347,48284.5481007119,43014.1228863696,54844.8204454662
2020-03-19,"Italy",60431283,4207,473,57610.0663243604,51321.7285828012,65437.3680130675
2020-03-20,"Italy",60431283,5322,429,72878.719509923,64923.7555307031,82780.525924779
2020-03-21,"Italy",60431283,5986,625,81971.4421244643,73023.9760629065,93108.6486632332
2020-03-22,"Italy",60431283,6557,795,89790.6358185955,79989.6777555092,101990.212042235
2020-03-23,"Italy",60431283,5560,649,76137.8580374243,67827.1478298965,86482.4735328394
2020-03-24,"Italy",60431283,4789,601,65579.8924714433,58421.6206757867,74490.0298109295
2020-03-25,"Italy",60431283,5249,743,71879.0677766979,64033.219237253,81645.0545996177
2020-03-26,"Italy",60431283,5210,685,71345.0072616871,63557.4532722591,81038.4329327506
